group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,char_indices,1,,,1050079.0,ns,23465
LimitedWriter,char_indices,1,,,2070371.0,ns,46930
LimitedWriter,char_indices,1,,,3095434.0,ns,70395
LimitedWriter,char_indices,1,,,4133730.0,ns,93860
LimitedWriter,char_indices,1,,,5403511.0,ns,117325
LimitedWriter,char_indices,1,,,6090589.0,ns,140790
LimitedWriter,char_indices,1,,,7015954.0,ns,164255
LimitedWriter,char_indices,1,,,8315511.0,ns,187720
LimitedWriter,char_indices,1,,,8882223.0,ns,211185
LimitedWriter,char_indices,1,,,10123350.0,ns,234650
LimitedWriter,char_indices,1,,,10872815.0,ns,258115
LimitedWriter,char_indices,1,,,12025295.0,ns,281580
LimitedWriter,char_indices,1,,,13264348.0,ns,305045
LimitedWriter,char_indices,1,,,13780726.0,ns,328510
LimitedWriter,char_indices,1,,,15098246.0,ns,351975
LimitedWriter,char_indices,1,,,15761761.0,ns,375440
LimitedWriter,char_indices,1,,,17331364.0,ns,398905
LimitedWriter,char_indices,1,,,18307393.0,ns,422370
LimitedWriter,char_indices,1,,,18817379.0,ns,445835
LimitedWriter,char_indices,1,,,20465690.0,ns,469300
LimitedWriter,char_indices,1,,,21511791.0,ns,492765
LimitedWriter,char_indices,1,,,21955553.0,ns,516230
LimitedWriter,char_indices,1,,,23304442.0,ns,539695
LimitedWriter,char_indices,1,,,23962285.0,ns,563160
LimitedWriter,char_indices,1,,,25216717.0,ns,586625
LimitedWriter,char_indices,1,,,26239935.0,ns,610090
LimitedWriter,char_indices,1,,,27137879.0,ns,633555
LimitedWriter,char_indices,1,,,28189040.0,ns,657020
LimitedWriter,char_indices,1,,,29298450.0,ns,680485
LimitedWriter,char_indices,1,,,30041964.0,ns,703950
LimitedWriter,char_indices,1,,,31048421.0,ns,727415
LimitedWriter,char_indices,1,,,32307311.0,ns,750880
LimitedWriter,char_indices,1,,,33134913.0,ns,774345
LimitedWriter,char_indices,1,,,34274218.0,ns,797810
LimitedWriter,char_indices,1,,,35626755.0,ns,821275
LimitedWriter,char_indices,1,,,36327578.0,ns,844740
LimitedWriter,char_indices,1,,,36714764.0,ns,868205
