group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,char_indices,4,,,1049147.0,ns,23075
LimitedWriter,char_indices,4,,,2234659.0,ns,46150
LimitedWriter,char_indices,4,,,2992701.0,ns,69225
LimitedWriter,char_indices,4,,,3984891.0,ns,92300
LimitedWriter,char_indices,4,,,5005254.0,ns,115375
LimitedWriter,char_indices,4,,,5926902.0,ns,138450
LimitedWriter,char_indices,4,,,7018298.0,ns,161525
LimitedWriter,char_indices,4,,,8036247.0,ns,184600
LimitedWriter,char_indices,4,,,9103677.0,ns,207675
LimitedWriter,char_indices,4,,,10095838.0,ns,230750
LimitedWriter,char_indices,4,,,10791192.0,ns,253825
LimitedWriter,char_indices,4,,,11750390.0,ns,276900
LimitedWriter,char_indices,4,,,12906427.0,ns,299975
LimitedWriter,char_indices,4,,,13985830.0,ns,323050
LimitedWriter,char_indices,4,,,14572400.0,ns,346125
LimitedWriter,char_indices,4,,,15583877.0,ns,369200
LimitedWriter,char_indices,4,,,16502289.0,ns,392275
LimitedWriter,char_indices,4,,,17279296.0,ns,415350
LimitedWriter,char_indices,4,,,18630940.0,ns,438425
LimitedWriter,char_indices,4,,,19288052.0,ns,461500
LimitedWriter,char_indices,4,,,20301381.0,ns,484575
LimitedWriter,char_indices,4,,,21559239.0,ns,507650
LimitedWriter,char_indices,4,,,22242240.0,ns,530725
LimitedWriter,char_indices,4,,,23407334.0,ns,553800
LimitedWriter,char_indices,4,,,24350271.0,ns,576875
LimitedWriter,char_indices,4,,,25603742.0,ns,599950
LimitedWriter,char_indices,4,,,26072100.0,ns,623025
LimitedWriter,char_indices,4,,,26996072.0,ns,646100
LimitedWriter,char_indices,4,,,28461119.0,ns,669175
LimitedWriter,char_indices,4,,,31853650.0,ns,692250
LimitedWriter,char_indices,4,,,29556172.0,ns,715325
LimitedWriter,char_indices,4,,,30554464.0,ns,738400
LimitedWriter,char_indices,4,,,31394779.0,ns,761475
LimitedWriter,char_indices,4,,,32487017.0,ns,784550
LimitedWriter,char_indices,4,,,33397765.0,ns,807625
