group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,4,,,876473.0,ns,20817
LimitedWriter,len_utf8_at,4,,,1717510.0,ns,41634
LimitedWriter,len_utf8_at,4,,,2555340.0,ns,62451
LimitedWriter,len_utf8_at,4,,,3540277.0,ns,83268
LimitedWriter,len_utf8_at,4,,,4256149.0,ns,104085
LimitedWriter,len_utf8_at,4,,,5126582.0,ns,124902
LimitedWriter,len_utf8_at,4,,,5977246.0,ns,145719
LimitedWriter,len_utf8_at,4,,,6923540.0,ns,166536
LimitedWriter,len_utf8_at,4,,,7832484.0,ns,187353
LimitedWriter,len_utf8_at,4,,,8537547.0,ns,208170
LimitedWriter,len_utf8_at,4,,,9559072.0,ns,228987
LimitedWriter,len_utf8_at,4,,,11734009.0,ns,249804
LimitedWriter,len_utf8_at,4,,,11319251.0,ns,270621
LimitedWriter,len_utf8_at,4,,,11915148.0,ns,291438
LimitedWriter,len_utf8_at,4,,,14074336.0,ns,312255
LimitedWriter,len_utf8_at,4,,,13644951.0,ns,333072
LimitedWriter,len_utf8_at,4,,,15529976.0,ns,353889
LimitedWriter,len_utf8_at,4,,,15608974.0,ns,374706
LimitedWriter,len_utf8_at,4,,,19169519.0,ns,395523
LimitedWriter,len_utf8_at,4,,,16976578.0,ns,416340
LimitedWriter,len_utf8_at,4,,,18425314.0,ns,437157
LimitedWriter,len_utf8_at,4,,,18742329.0,ns,457974
LimitedWriter,len_utf8_at,4,,,19554151.0,ns,478791
LimitedWriter,len_utf8_at,4,,,20872702.0,ns,499608
LimitedWriter,len_utf8_at,4,,,21287110.0,ns,520425
LimitedWriter,len_utf8_at,4,,,22117657.0,ns,541242
LimitedWriter,len_utf8_at,4,,,25835006.0,ns,562059
LimitedWriter,len_utf8_at,4,,,33232425.0,ns,582876
LimitedWriter,len_utf8_at,4,,,30938254.0,ns,603693
LimitedWriter,len_utf8_at,4,,,25515326.0,ns,624510
LimitedWriter,len_utf8_at,4,,,28904040.0,ns,645327
LimitedWriter,len_utf8_at,4,,,27493766.0,ns,666144
LimitedWriter,len_utf8_at,4,,,28496475.0,ns,686961
LimitedWriter,len_utf8_at,4,,,29345898.0,ns,707778
LimitedWriter,len_utf8_at,4,,,31242042.0,ns,728595
LimitedWriter,len_utf8_at,4,,,30628232.0,ns,749412
LimitedWriter,len_utf8_at,4,,,31558286.0,ns,770229
LimitedWriter,len_utf8_at,4,,,38785245.0,ns,791046
LimitedWriter,len_utf8_at,4,,,35450944.0,ns,811863
LimitedWriter,len_utf8_at,4,,,39344343.0,ns,832680
LimitedWriter,len_utf8_at,4,,,36534566.0,ns,853497
LimitedWriter,len_utf8_at,4,,,37568825.0,ns,874314
LimitedWriter,len_utf8_at,4,,,39147023.0,ns,895131
LimitedWriter,len_utf8_at,4,,,40345481.0,ns,915948
LimitedWriter,len_utf8_at,4,,,40329019.0,ns,936765
LimitedWriter,len_utf8_at,4,,,43321800.0,ns,957582
LimitedWriter,len_utf8_at,4,,,41065991.0,ns,978399
LimitedWriter,len_utf8_at,4,,,44685557.0,ns,999216
LimitedWriter,len_utf8_at,4,,,47844359.0,ns,1020033
LimitedWriter,len_utf8_at,4,,,43449871.0,ns,1040850
LimitedWriter,len_utf8_at,4,,,44705454.0,ns,1061667
LimitedWriter,len_utf8_at,4,,,49745174.0,ns,1082484
LimitedWriter,len_utf8_at,4,,,46330090.0,ns,1103301
LimitedWriter,len_utf8_at,4,,,47028830.0,ns,1124118
LimitedWriter,len_utf8_at,4,,,47482741.0,ns,1144935
LimitedWriter,len_utf8_at,4,,,49821266.0,ns,1165752
LimitedWriter,len_utf8_at,4,,,51592416.0,ns,1186569
LimitedWriter,len_utf8_at,4,,,52117181.0,ns,1207386
LimitedWriter,len_utf8_at,4,,,54142487.0,ns,1228203
LimitedWriter,len_utf8_at,4,,,53166257.0,ns,1249020
LimitedWriter,len_utf8_at,4,,,53605440.0,ns,1269837
LimitedWriter,len_utf8_at,4,,,59321527.0,ns,1290654
LimitedWriter,len_utf8_at,4,,,54325681.0,ns,1311471
LimitedWriter,len_utf8_at,4,,,58140142.0,ns,1332288
LimitedWriter,len_utf8_at,4,,,55548704.0,ns,1353105
LimitedWriter,len_utf8_at,4,,,58725960.0,ns,1373922
LimitedWriter,len_utf8_at,4,,,56881612.0,ns,1394739
LimitedWriter,len_utf8_at,4,,,57584110.0,ns,1415556
LimitedWriter,len_utf8_at,4,,,61552630.0,ns,1436373
LimitedWriter,len_utf8_at,4,,,59571145.0,ns,1457190
LimitedWriter,len_utf8_at,4,,,63545937.0,ns,1478007
LimitedWriter,len_utf8_at,4,,,61360068.0,ns,1498824
LimitedWriter,len_utf8_at,4,,,68763318.0,ns,1519641
LimitedWriter,len_utf8_at,4,,,69765137.0,ns,1540458
