group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,char_indices,1,,,869149.0,ns,20676
LimitedWriter,char_indices,1,,,1715797.0,ns,41352
LimitedWriter,char_indices,1,,,2579295.0,ns,62028
LimitedWriter,char_indices,1,,,3424218.0,ns,82704
LimitedWriter,char_indices,1,,,4548777.0,ns,103380
LimitedWriter,char_indices,1,,,5107023.0,ns,124056
LimitedWriter,char_indices,1,,,5998734.0,ns,144732
LimitedWriter,char_indices,1,,,6971868.0,ns,165408
LimitedWriter,char_indices,1,,,7670008.0,ns,186084
LimitedWriter,char_indices,1,,,8560326.0,ns,206760
LimitedWriter,char_indices,1,,,9334558.0,ns,227436
LimitedWriter,char_indices,1,,,10187456.0,ns,248112
LimitedWriter,char_indices,1,,,11067095.0,ns,268788
LimitedWriter,char_indices,1,,,11871874.0,ns,289464
LimitedWriter,char_indices,1,,,12738218.0,ns,310140
LimitedWriter,char_indices,1,,,13605884.0,ns,330816
LimitedWriter,char_indices,1,,,14452471.0,ns,351492
LimitedWriter,char_indices,1,,,15299769.0,ns,372168
LimitedWriter,char_indices,1,,,16161123.0,ns,392844
LimitedWriter,char_indices,1,,,17021347.0,ns,413520
LimitedWriter,char_indices,1,,,17870658.0,ns,434196
LimitedWriter,char_indices,1,,,18687008.0,ns,454872
LimitedWriter,char_indices,1,,,19400386.0,ns,475548
LimitedWriter,char_indices,1,,,20336801.0,ns,496224
LimitedWriter,char_indices,1,,,21153823.0,ns,516900
LimitedWriter,char_indices,1,,,22148627.0,ns,537576
LimitedWriter,char_indices,1,,,22869729.0,ns,558252
LimitedWriter,char_indices,1,,,23724531.0,ns,578928
LimitedWriter,char_indices,1,,,24654485.0,ns,599604
LimitedWriter,char_indices,1,,,25381206.0,ns,620280
LimitedWriter,char_indices,1,,,26193770.0,ns,640956
LimitedWriter,char_indices,1,,,27015530.0,ns,661632
LimitedWriter,char_indices,1,,,27886342.0,ns,682308
LimitedWriter,char_indices,1,,,28760009.0,ns,702984
LimitedWriter,char_indices,1,,,29558085.0,ns,723660
LimitedWriter,char_indices,1,,,30417918.0,ns,744336
LimitedWriter,char_indices,1,,,31309358.0,ns,765012
LimitedWriter,char_indices,1,,,32106022.0,ns,785688
LimitedWriter,char_indices,1,,,32914808.0,ns,806364
LimitedWriter,char_indices,1,,,33815386.0,ns,827040
LimitedWriter,char_indices,1,,,34623431.0,ns,847716
LimitedWriter,char_indices,1,,,35465850.0,ns,868392
LimitedWriter,char_indices,1,,,36284394.0,ns,889068
LimitedWriter,char_indices,1,,,37155958.0,ns,909744
LimitedWriter,char_indices,1,,,38034775.0,ns,930420
LimitedWriter,char_indices,1,,,38829776.0,ns,951096
LimitedWriter,char_indices,1,,,39712010.0,ns,971772
LimitedWriter,char_indices,1,,,40951413.0,ns,992448
LimitedWriter,char_indices,1,,,41389142.0,ns,1013124
LimitedWriter,char_indices,1,,,42237563.0,ns,1033800
LimitedWriter,char_indices,1,,,43080544.0,ns,1054476
LimitedWriter,char_indices,1,,,43908265.0,ns,1075152
LimitedWriter,char_indices,1,,,44737760.0,ns,1095828
LimitedWriter,char_indices,1,,,45685867.0,ns,1116504
LimitedWriter,char_indices,1,,,46388053.0,ns,1137180
LimitedWriter,char_indices,1,,,47280287.0,ns,1157856
LimitedWriter,char_indices,1,,,48215830.0,ns,1178532
LimitedWriter,char_indices,1,,,48964983.0,ns,1199208
LimitedWriter,char_indices,1,,,49883064.0,ns,1219884
LimitedWriter,char_indices,1,,,50748887.0,ns,1240560
LimitedWriter,char_indices,1,,,51788646.0,ns,1261236
LimitedWriter,char_indices,1,,,52511402.0,ns,1281912
LimitedWriter,char_indices,1,,,53326580.0,ns,1302588
LimitedWriter,char_indices,1,,,54098897.0,ns,1323264
LimitedWriter,char_indices,1,,,54942099.0,ns,1343940
LimitedWriter,char_indices,1,,,55709255.0,ns,1364616
LimitedWriter,char_indices,1,,,56656631.0,ns,1385292
LimitedWriter,char_indices,1,,,57459728.0,ns,1405968
LimitedWriter,char_indices,1,,,58260067.0,ns,1426644
LimitedWriter,char_indices,1,,,59125769.0,ns,1447320
LimitedWriter,char_indices,1,,,60036807.0,ns,1467996
LimitedWriter,char_indices,1,,,60797834.0,ns,1488672
LimitedWriter,char_indices,1,,,61720303.0,ns,1509348
LimitedWriter,char_indices,1,,,62624718.0,ns,1530024
LimitedWriter,char_indices,1,,,63308501.0,ns,1550700
LimitedWriter,char_indices,1,,,64280943.0,ns,1571376
LimitedWriter,char_indices,1,,,65182534.0,ns,1592052
LimitedWriter,char_indices,1,,,65895019.0,ns,1612728
LimitedWriter,char_indices,1,,,66769148.0,ns,1633404
LimitedWriter,char_indices,1,,,67668483.0,ns,1654080
LimitedWriter,char_indices,1,,,68451391.0,ns,1674756
LimitedWriter,char_indices,1,,,69222296.0,ns,1695432
LimitedWriter,char_indices,1,,,70072289.0,ns,1716108
LimitedWriter,char_indices,1,,,70967297.0,ns,1736784
LimitedWriter,char_indices,1,,,71787314.0,ns,1757460
LimitedWriter,char_indices,1,,,72742495.0,ns,1778136
LimitedWriter,char_indices,1,,,73511195.0,ns,1798812
LimitedWriter,char_indices,1,,,74409479.0,ns,1819488
LimitedWriter,char_indices,1,,,75105213.0,ns,1840164
