group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,char_indices,2,,,1144395.0,ns,19860
LimitedWriter,char_indices,2,,,2307375.0,ns,39720
LimitedWriter,char_indices,2,,,3478311.0,ns,59580
LimitedWriter,char_indices,2,,,4651189.0,ns,79440
LimitedWriter,char_indices,2,,,5440428.0,ns,99300
LimitedWriter,char_indices,2,,,6022900.0,ns,119160
LimitedWriter,char_indices,2,,,7048452.0,ns,139020
LimitedWriter,char_indices,2,,,8046163.0,ns,158880
LimitedWriter,char_indices,2,,,9039314.0,ns,178740
LimitedWriter,char_indices,2,,,9995967.0,ns,198600
LimitedWriter,char_indices,2,,,10944946.0,ns,218460
LimitedWriter,char_indices,2,,,12005074.0,ns,238320
LimitedWriter,char_indices,2,,,12949584.0,ns,258180
LimitedWriter,char_indices,2,,,13944859.0,ns,278040
LimitedWriter,char_indices,2,,,14930827.0,ns,297900
LimitedWriter,char_indices,2,,,15969905.0,ns,317760
LimitedWriter,char_indices,2,,,16870984.0,ns,337620
LimitedWriter,char_indices,2,,,17867923.0,ns,357480
LimitedWriter,char_indices,2,,,18886743.0,ns,377340
LimitedWriter,char_indices,2,,,19881137.0,ns,397200
LimitedWriter,char_indices,2,,,20937779.0,ns,417060
LimitedWriter,char_indices,2,,,21846321.0,ns,436920
LimitedWriter,char_indices,2,,,22862435.0,ns,456780
LimitedWriter,char_indices,2,,,23924235.0,ns,476640
LimitedWriter,char_indices,2,,,24796410.0,ns,496500
LimitedWriter,char_indices,2,,,25905169.0,ns,516360
LimitedWriter,char_indices,2,,,26866131.0,ns,536220
LimitedWriter,char_indices,2,,,27764264.0,ns,556080
LimitedWriter,char_indices,2,,,28838097.0,ns,575940
LimitedWriter,char_indices,2,,,29887935.0,ns,595800
LimitedWriter,char_indices,2,,,30953061.0,ns,615660
LimitedWriter,char_indices,2,,,31771927.0,ns,635520
LimitedWriter,char_indices,2,,,32804051.0,ns,655380
LimitedWriter,char_indices,2,,,33769951.0,ns,675240
LimitedWriter,char_indices,2,,,34882136.0,ns,695100
LimitedWriter,char_indices,2,,,35826857.0,ns,714960
LimitedWriter,char_indices,2,,,36832422.0,ns,734820
LimitedWriter,char_indices,2,,,37797561.0,ns,754680
LimitedWriter,char_indices,2,,,38820017.0,ns,774540
LimitedWriter,char_indices,2,,,39774067.0,ns,794400
LimitedWriter,char_indices,2,,,40732964.0,ns,814260
LimitedWriter,char_indices,2,,,41831233.0,ns,834120
LimitedWriter,char_indices,2,,,42691294.0,ns,853980
LimitedWriter,char_indices,2,,,43798790.0,ns,873840
LimitedWriter,char_indices,2,,,45052040.0,ns,893700
LimitedWriter,char_indices,2,,,45892965.0,ns,913560
LimitedWriter,char_indices,2,,,46704937.0,ns,933420
LimitedWriter,char_indices,2,,,47791655.0,ns,953280
LimitedWriter,char_indices,2,,,48715015.0,ns,973140
LimitedWriter,char_indices,2,,,49765936.0,ns,993000
LimitedWriter,char_indices,2,,,50671944.0,ns,1012860
LimitedWriter,char_indices,2,,,51722594.0,ns,1032720
LimitedWriter,char_indices,2,,,52766631.0,ns,1052580
LimitedWriter,char_indices,2,,,53824233.0,ns,1072440
LimitedWriter,char_indices,2,,,54785776.0,ns,1092300
LimitedWriter,char_indices,2,,,55651088.0,ns,1112160
LimitedWriter,char_indices,2,,,56682972.0,ns,1132020
LimitedWriter,char_indices,2,,,57771543.0,ns,1151880
LimitedWriter,char_indices,2,,,58758422.0,ns,1171740
LimitedWriter,char_indices,2,,,59571627.0,ns,1191600
LimitedWriter,char_indices,2,,,60714619.0,ns,1211460
LimitedWriter,char_indices,2,,,61652377.0,ns,1231320
LimitedWriter,char_indices,2,,,62647373.0,ns,1251180
LimitedWriter,char_indices,2,,,63618432.0,ns,1271040
LimitedWriter,char_indices,2,,,64669834.0,ns,1290900
LimitedWriter,char_indices,2,,,65578947.0,ns,1310760
LimitedWriter,char_indices,2,,,66622002.0,ns,1330620
LimitedWriter,char_indices,2,,,67881554.0,ns,1350480
LimitedWriter,char_indices,2,,,68735144.0,ns,1370340
LimitedWriter,char_indices,2,,,69719339.0,ns,1390200
LimitedWriter,char_indices,2,,,70629935.0,ns,1410060
LimitedWriter,char_indices,2,,,71717474.0,ns,1429920
LimitedWriter,char_indices,2,,,72544955.0,ns,1449780
LimitedWriter,char_indices,2,,,73544930.0,ns,1469640
LimitedWriter,char_indices,2,,,74520698.0,ns,1489500
LimitedWriter,char_indices,2,,,75733802.0,ns,1509360
LimitedWriter,char_indices,2,,,66338652.0,ns,1529220
LimitedWriter,char_indices,2,,,63864504.0,ns,1549080
LimitedWriter,char_indices,2,,,64620581.0,ns,1568940
LimitedWriter,char_indices,2,,,65553640.0,ns,1588800
LimitedWriter,char_indices,2,,,66445903.0,ns,1608660
LimitedWriter,char_indices,2,,,67608222.0,ns,1628520
LimitedWriter,char_indices,2,,,68137674.0,ns,1648380
LimitedWriter,char_indices,2,,,69065613.0,ns,1668240
LimitedWriter,char_indices,2,,,69982322.0,ns,1688100
LimitedWriter,char_indices,2,,,70563280.0,ns,1707960
LimitedWriter,char_indices,2,,,71835285.0,ns,1727820
LimitedWriter,char_indices,2,,,72437544.0,ns,1747680
LimitedWriter,char_indices,2,,,73172431.0,ns,1767540
LimitedWriter,char_indices,2,,,74020281.0,ns,1787400
LimitedWriter,char_indices,2,,,74885764.0,ns,1807260
LimitedWriter,char_indices,2,,,75732360.0,ns,1827120
LimitedWriter,char_indices,2,,,76646033.0,ns,1846980
LimitedWriter,char_indices,2,,,77380670.0,ns,1866840
LimitedWriter,char_indices,2,,,78244459.0,ns,1886700
LimitedWriter,char_indices,2,,,79014824.0,ns,1906560
LimitedWriter,char_indices,2,,,79931200.0,ns,1926420
LimitedWriter,char_indices,2,,,80785893.0,ns,1946280
LimitedWriter,char_indices,2,,,81368855.0,ns,1966140
LimitedWriter,char_indices,2,,,82346087.0,ns,1986000
