group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,2,,,1075676.0,ns,23720
LimitedWriter,len_utf8_at,2,,,2150602.0,ns,47440
LimitedWriter,len_utf8_at,2,,,3222381.0,ns,71160
LimitedWriter,len_utf8_at,2,,,4290071.0,ns,94880
LimitedWriter,len_utf8_at,2,,,5171835.0,ns,118600
LimitedWriter,len_utf8_at,2,,,6018752.0,ns,142320
LimitedWriter,len_utf8_at,2,,,6884686.0,ns,166040
LimitedWriter,len_utf8_at,2,,,7872056.0,ns,189760
LimitedWriter,len_utf8_at,2,,,8811748.0,ns,213480
LimitedWriter,len_utf8_at,2,,,9779421.0,ns,237200
LimitedWriter,len_utf8_at,2,,,10887528.0,ns,260920
LimitedWriter,len_utf8_at,2,,,11738885.0,ns,284640
LimitedWriter,len_utf8_at,2,,,12696630.0,ns,308360
LimitedWriter,len_utf8_at,2,,,13911056.0,ns,332080
LimitedWriter,len_utf8_at,2,,,14812095.0,ns,355800
LimitedWriter,len_utf8_at,2,,,15643724.0,ns,379520
LimitedWriter,len_utf8_at,2,,,16820900.0,ns,403240
LimitedWriter,len_utf8_at,2,,,17768127.0,ns,426960
LimitedWriter,len_utf8_at,2,,,18728847.0,ns,450680
LimitedWriter,len_utf8_at,2,,,20512170.0,ns,474400
LimitedWriter,len_utf8_at,2,,,20899656.0,ns,498120
LimitedWriter,len_utf8_at,2,,,21904921.0,ns,521840
LimitedWriter,len_utf8_at,2,,,22816058.0,ns,545560
LimitedWriter,len_utf8_at,2,,,23432204.0,ns,569280
LimitedWriter,len_utf8_at,2,,,24995304.0,ns,593000
LimitedWriter,len_utf8_at,2,,,25574940.0,ns,616720
LimitedWriter,len_utf8_at,2,,,26576387.0,ns,640440
LimitedWriter,len_utf8_at,2,,,27069211.0,ns,664160
LimitedWriter,len_utf8_at,2,,,27930385.0,ns,687880
LimitedWriter,len_utf8_at,2,,,28823640.0,ns,711600
LimitedWriter,len_utf8_at,2,,,29781065.0,ns,735320
LimitedWriter,len_utf8_at,2,,,30840570.0,ns,759040
LimitedWriter,len_utf8_at,2,,,31783658.0,ns,782760
LimitedWriter,len_utf8_at,2,,,32781418.0,ns,806480
LimitedWriter,len_utf8_at,2,,,33631702.0,ns,830200
LimitedWriter,len_utf8_at,2,,,34648929.0,ns,853920
LimitedWriter,len_utf8_at,2,,,35673089.0,ns,877640
LimitedWriter,len_utf8_at,2,,,37114891.0,ns,901360
LimitedWriter,len_utf8_at,2,,,37404324.0,ns,925080
LimitedWriter,len_utf8_at,2,,,38539842.0,ns,948800
LimitedWriter,len_utf8_at,2,,,39762184.0,ns,972520
LimitedWriter,len_utf8_at,2,,,40636733.0,ns,996240
LimitedWriter,len_utf8_at,2,,,41968770.0,ns,1019960
LimitedWriter,len_utf8_at,2,,,42641732.0,ns,1043680
LimitedWriter,len_utf8_at,2,,,43572035.0,ns,1067400
LimitedWriter,len_utf8_at,2,,,44503951.0,ns,1091120
LimitedWriter,len_utf8_at,2,,,45129785.0,ns,1114840
LimitedWriter,len_utf8_at,2,,,46093180.0,ns,1138560
