group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
LimitedWriter,len_utf8_at,3,,,1129407.0,ns,24169
LimitedWriter,len_utf8_at,3,,,2269504.0,ns,48338
LimitedWriter,len_utf8_at,3,,,3406456.0,ns,72507
LimitedWriter,len_utf8_at,3,,,4502971.0,ns,96676
LimitedWriter,len_utf8_at,3,,,5634131.0,ns,120845
LimitedWriter,len_utf8_at,3,,,6479044.0,ns,145014
LimitedWriter,len_utf8_at,3,,,7440308.0,ns,169183
LimitedWriter,len_utf8_at,3,,,8464025.0,ns,193352
LimitedWriter,len_utf8_at,3,,,9340298.0,ns,217521
LimitedWriter,len_utf8_at,3,,,9870803.0,ns,241690
LimitedWriter,len_utf8_at,3,,,10850869.0,ns,265859
LimitedWriter,len_utf8_at,3,,,11918791.0,ns,290028
LimitedWriter,len_utf8_at,3,,,12893058.0,ns,314197
LimitedWriter,len_utf8_at,3,,,13979053.0,ns,338366
LimitedWriter,len_utf8_at,3,,,14840128.0,ns,362535
LimitedWriter,len_utf8_at,3,,,15851644.0,ns,386704
LimitedWriter,len_utf8_at,3,,,16841700.0,ns,410873
LimitedWriter,len_utf8_at,3,,,17791219.0,ns,435042
LimitedWriter,len_utf8_at,3,,,18797456.0,ns,459211
LimitedWriter,len_utf8_at,3,,,19852874.0,ns,483380
LimitedWriter,len_utf8_at,3,,,20739305.0,ns,507549
LimitedWriter,len_utf8_at,3,,,21757245.0,ns,531718
LimitedWriter,len_utf8_at,3,,,22801822.0,ns,555887
LimitedWriter,len_utf8_at,3,,,23759287.0,ns,580056
LimitedWriter,len_utf8_at,3,,,24741618.0,ns,604225
LimitedWriter,len_utf8_at,3,,,25752823.0,ns,628394
LimitedWriter,len_utf8_at,3,,,26719075.0,ns,652563
LimitedWriter,len_utf8_at,3,,,27693210.0,ns,676732
LimitedWriter,len_utf8_at,3,,,28767715.0,ns,700901
LimitedWriter,len_utf8_at,3,,,29734127.0,ns,725070
LimitedWriter,len_utf8_at,3,,,30714244.0,ns,749239
LimitedWriter,len_utf8_at,3,,,31680284.0,ns,773408
LimitedWriter,len_utf8_at,3,,,32656975.0,ns,797577
LimitedWriter,len_utf8_at,3,,,33658864.0,ns,821746
LimitedWriter,len_utf8_at,3,,,34558050.0,ns,845915
LimitedWriter,len_utf8_at,3,,,35667558.0,ns,870084
LimitedWriter,len_utf8_at,3,,,36469222.0,ns,894253
LimitedWriter,len_utf8_at,3,,,37407621.0,ns,918422
LimitedWriter,len_utf8_at,3,,,38362160.0,ns,942591
LimitedWriter,len_utf8_at,3,,,39598307.0,ns,966760
LimitedWriter,len_utf8_at,3,,,40614502.0,ns,990929
LimitedWriter,len_utf8_at,3,,,41453254.0,ns,1015098
LimitedWriter,len_utf8_at,3,,,42499465.0,ns,1039267
LimitedWriter,len_utf8_at,3,,,43267865.0,ns,1063436
LimitedWriter,len_utf8_at,3,,,44221162.0,ns,1087605
LimitedWriter,len_utf8_at,3,,,45265450.0,ns,1111774
LimitedWriter,len_utf8_at,3,,,46446624.0,ns,1135943
LimitedWriter,len_utf8_at,3,,,47399190.0,ns,1160112
LimitedWriter,len_utf8_at,3,,,48406499.0,ns,1184281
LimitedWriter,len_utf8_at,3,,,49690705.0,ns,1208450
LimitedWriter,len_utf8_at,3,,,50399484.0,ns,1232619
LimitedWriter,len_utf8_at,3,,,51445675.0,ns,1256788
LimitedWriter,len_utf8_at,3,,,52426834.0,ns,1280957
LimitedWriter,len_utf8_at,3,,,53253734.0,ns,1305126
LimitedWriter,len_utf8_at,3,,,54305285.0,ns,1329295
LimitedWriter,len_utf8_at,3,,,55135752.0,ns,1353464
LimitedWriter,len_utf8_at,3,,,56347142.0,ns,1377633
LimitedWriter,len_utf8_at,3,,,57283639.0,ns,1401802
LimitedWriter,len_utf8_at,3,,,58294583.0,ns,1425971
LimitedWriter,len_utf8_at,3,,,59219067.0,ns,1450140
LimitedWriter,len_utf8_at,3,,,60298970.0,ns,1474309
LimitedWriter,len_utf8_at,3,,,61282124.0,ns,1498478
LimitedWriter,len_utf8_at,3,,,62295644.0,ns,1522647
LimitedWriter,len_utf8_at,3,,,63260261.0,ns,1546816
LimitedWriter,len_utf8_at,3,,,64208078.0,ns,1570985
LimitedWriter,len_utf8_at,3,,,65372751.0,ns,1595154
LimitedWriter,len_utf8_at,3,,,66026067.0,ns,1619323
LimitedWriter,len_utf8_at,3,,,67472317.0,ns,1643492
LimitedWriter,len_utf8_at,3,,,68171718.0,ns,1667661
LimitedWriter,len_utf8_at,3,,,69292108.0,ns,1691830
LimitedWriter,len_utf8_at,3,,,70307211.0,ns,1715999
LimitedWriter,len_utf8_at,3,,,71160500.0,ns,1740168
LimitedWriter,len_utf8_at,3,,,72116853.0,ns,1764337
LimitedWriter,len_utf8_at,3,,,73235331.0,ns,1788506
LimitedWriter,len_utf8_at,3,,,74294736.0,ns,1812675
LimitedWriter,len_utf8_at,3,,,75176849.0,ns,1836844
LimitedWriter,len_utf8_at,3,,,76128954.0,ns,1861013
LimitedWriter,len_utf8_at,3,,,77154256.0,ns,1885182
LimitedWriter,len_utf8_at,3,,,77848278.0,ns,1909351
LimitedWriter,len_utf8_at,3,,,79366091.0,ns,1933520
LimitedWriter,len_utf8_at,3,,,79563913.0,ns,1957689
LimitedWriter,len_utf8_at,3,,,81843977.0,ns,1981858
LimitedWriter,len_utf8_at,3,,,83385647.0,ns,2006027
LimitedWriter,len_utf8_at,3,,,86352618.0,ns,2030196
LimitedWriter,len_utf8_at,3,,,84689240.0,ns,2054365
LimitedWriter,len_utf8_at,3,,,84449091.0,ns,2078534
LimitedWriter,len_utf8_at,3,,,85350029.0,ns,2102703
LimitedWriter,len_utf8_at,3,,,85915018.0,ns,2126872
LimitedWriter,len_utf8_at,3,,,87408197.0,ns,2151041
LimitedWriter,len_utf8_at,3,,,88396510.0,ns,2175210
LimitedWriter,len_utf8_at,3,,,89080632.0,ns,2199379
LimitedWriter,len_utf8_at,3,,,89891433.0,ns,2223548
LimitedWriter,len_utf8_at,3,,,92330133.0,ns,2247717
LimitedWriter,len_utf8_at,3,,,92825041.0,ns,2271886
LimitedWriter,len_utf8_at,3,,,93771525.0,ns,2296055
LimitedWriter,len_utf8_at,3,,,93845384.0,ns,2320224
LimitedWriter,len_utf8_at,3,,,95418192.0,ns,2344393
LimitedWriter,len_utf8_at,3,,,96383941.0,ns,2368562
LimitedWriter,len_utf8_at,3,,,97085347.0,ns,2392731
LimitedWriter,len_utf8_at,3,,,97888813.0,ns,2416900
